date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
11/04/2018,105.3882429,109.6173587,127.0582522,116.7107957,114.2814639,147.1508693,155.0660237,189.3255775,90.25521124,167.4960737
12/04/2018,107.1096527,109.9211191,128.0893364,114.7180319,115.5799895,146.9616101,154.3278193,190.7041771,89.94702139,166.15646
13/04/2018,108.2144427,109.4069515,129.4782228,116.6819864,114.9658382,146.3559803,152.8968852,188.0948579,90.42753504,166.6609636
14/04/2018,108.0135633,108.3335332,128.7951526,116.8109497,114.5074914,147.4022734,154.6095552,188.9110335,91.02122887,166.1163617
15/04/2018,106.4531907,108.4116797,127.048643,117.2085351,116.3364505,147.7197625,153.1150882,190.18218,89.50996897,164.7597027
16/04/2018,107.666026,108.6878859,127.1958788,119.2785348,113.849772,146.4101848,153.6959387,188.1135773,86.33955751,165.1651052
17/04/2018,106.8401679,107.6831995,127.6527089,119.3697995,114.0016835,146.4122775,152.0016136,186.3874008,86.70929483,167.1952221
18/04/2018,107.0812964,107.2951261,128.8713734,116.6776192,116.1753306,146.8941868,153.3941236,188.5564313,86.23811894,166.9699887
19/04/2018,106.7714755,106.281338,128.2910365,118.2862373,114.0430926,145.1337776,153.3061431,188.0235446,85.1464489,165.2451892
20/04/2018,106.3560652,108.429603,126.962869,118.9206864,111.8933474,144.3885838,151.9976142,187.8105059,87.59007296,165.6973631
21/04/2018,107.4685878,106.3641955,127.0303161,118.7501012,113.0092983,144.7997421,152.5055672,187.9985469,84.91925827,167.6128599
22/04/2018,106.7577123,106.577297,126.1875967,120.0782361,113.9790756,146.5641055,150.7930109,187.3610342,86.17739451,165.7225331
23/04/2018,108.6550448,106.7771763,126.4811575,122.224618,111.9135242,145.2173671,152.2401008,189.1635368,88.19177952,167.2402948
24/04/2018,107.8166371,108.6440875,127.9346033,125.0903331,112.9155226,144.4743568,151.0497048,192.4471046,88.25929984,170.3257344
25/04/2018,106.6971372,106.2429688,127.39814,124.5757843,112.4224126,144.2096265,152.5386301,190.0789492,88.73347552,166.2287566
26/04/2018,107.3393567,107.6771932,126.5518281,126.980252,113.3889318,146.3611915,152.9942906,189.7822329,90.03887748,168.0295917
27/04/2018,107.7861133,108.0565563,126.4325427,125.3142732,114.7691156,146.2261719,153.5695777,193.7536196,89.71072165,169.2980506
28/04/2018,108.397845,107.7401619,127.6874013,126.6051832,113.5155993,146.8987319,154.6635105,193.1648171,90.14961253,167.1797176
29/04/2018,107.4619573,107.1135964,129.2061263,126.259731,113.8475618,146.6143868,154.8925821,193.615769,92.3842746,168.6257919
30/04/2018,107.9370168,106.5837322,127.0822753,124.322669,114.7027863,146.3338077,155.255642,195.1933291,92.64066273,169.2644606
01/05/2018,108.0402149,108.0949765,125.4983996,123.1242237,114.0861398,146.3676125,152.9171324,193.1155526,93.4378819,166.7369054
02/05/2018,108.8641082,108.6131294,124.2452972,122.7623661,112.5030318,145.588403,154.2950156,193.0188231,93.08089311,167.979337
03/05/2018,106.4503424,108.0349675,124.4721446,121.1381175,113.8571213,146.5815301,155.2434234,193.766841,93.14620659,169.1481307
04/05/2018,107.7249714,107.6164368,126.1929218,121.8052348,113.8954305,146.070927,156.3203362,192.9399738,94.01834188,168.4458152
05/05/2018,106.8544558,109.2654723,126.7900885,120.5826728,113.0468,143.8309204,154.7360761,192.1021931,98.6953519,168.0841859
06/05/2018,107.6314485,108.130309,127.1435647,119.0508401,113.5972152,142.4643188,155.7754498,194.5624059,98.41487686,166.4280422
07/05/2018,106.9816605,109.2149299,125.7594942,119.3093058,114.7531373,144.2614455,155.065408,192.2486801,97.56956555,165.8776767
08/05/2018,106.1843847,106.2361706,125.4271402,119.6368009,114.1182404,147.4212164,154.9293573,192.5058692,99.06406962,167.6416423
09/05/2018,106.3957593,107.3614899,125.7104054,118.8446904,113.7087458,145.3278698,154.4746411,193.6387713,99.01377372,167.2054921
10/05/2018,106.5436328,105.0297183,126.8993224,117.351346,113.6986092,144.9455885,155.9756882,193.5603911,99.49869098,166.9625672
11/05/2018,107.0514787,106.2353934,125.0022326,116.7600197,112.85392,144.4910636,157.5443808,192.425659,100.1535716,168.4398875
12/05/2018,106.942322,104.2553323,126.378486,115.8270611,114.4920115,147.3950473,156.9548639,193.0349598,101.2092075,167.868313
13/05/2018,105.1434903,107.3954519,125.3442985,115.8930191,114.8777299,145.4537716,156.9322562,192.9736341,99.67071759,168.1190762
14/05/2018,107.1887464,105.6066495,126.2644005,114.9743911,112.7860149,145.4376098,156.4627849,194.8354221,99.72962046,167.1527079
15/05/2018,106.9642092,106.4230427,126.1819265,114.9922179,111.4137272,146.2849296,156.5433059,194.0884791,97.56257551,167.7864952
16/05/2018,107.2884037,107.9150106,125.8363221,115.1282598,114.3173651,144.0283455,156.6089866,192.6395708,97.31149853,167.4915231
17/05/2018,106.276131,107.6772494,127.0975231,115.8192663,113.7566974,143.9758012,155.5048132,193.3060329,94.53895763,166.5580958
18/05/2018,105.9142772,107.3326282,125.1762167,117.6583606,112.9129932,147.7577029,156.8110799,194.4814706,94.28464874,169.404457
19/05/2018,107.3125554,107.9572448,125.3708672,117.5279272,112.824584,146.8674696,156.5245284,194.5777655,93.00621196,164.5605257
20/05/2018,105.8894394,106.3566895,125.2627926,118.8830861,113.7958872,146.2374879,155.5152209,192.6181989,93.55876249,169.0607674
21/05/2018,106.4543658,107.6474654,126.509881,116.751651,111.2762424,147.5519985,155.8968461,193.3305391,95.22509504,167.6570652
22/05/2018,106.5227726,107.6288328,127.1387991,116.7679153,110.0779795,147.8044994,156.9907579,194.5391219,96.89776719,165.4560374
23/05/2018,106.7466183,108.8501225,126.5226396,116.0615358,113.6208604,144.8449854,155.3508325,193.5029614,96.67414756,170.2268768
24/05/2018,106.8729241,106.8057299,126.7954876,117.2348115,111.4124101,144.1685193,157.1031708,194.0005025,98.05572778,167.8830165
25/05/2018,107.8585377,107.7314488,127.440353,118.5635767,109.8863827,147.0984097,156.0234682,196.4660005,96.1091971,166.5923747
